student_id,minutes_watched
149063,2.47
149073,0.70
149079,2.70
149089,0.20
149095,46.77
149098,13.37
149099,9.50
149112,2.23
149131,387.20
149136,0.63
149148,4.12
149167,5.92
149169,0.45
149175,0.62
149186,0.70
149187,18.13
149191,8.58
149206,19.67
149218,2910.43
149235,0.07
149266,0.65
149309,2.20
149324,0.08
149331,0.92
149332,64.12
149352,49.97
149371,93.02
149380,6.53
149391,0.13
149398,44.27
149407,0.08
149408,0.98
149415,25.77
149426,0.87
149462,48.22
149476,5.25
149489,3.22
149499,4.53
149505,2.73
149525,4.75
149541,20.53
149566,1002.73
149578,0.47
149585,0.37
149598,61.28
149602,0.17
149611,57.70
149614,0.55
149617,428.77
149628,0.05
149637,7.65
149642,3.52
149645,18.90
149660,2.27
149661,0.08
149703,39.48
149718,0.98
149719,39.50
149736,4.57
149746,28.22
149748,2.18
149751,2.75
149782,42.25
149796,16.65
149797,0.57
149802,0.13
149827,0.55
149841,0.08
149842,7.63
149863,0.18
149888,5.78
149897,3.38
149911,85.90
149916,0.32
149917,1.40
149927,0.77
149934,0.23
149951,551.67
149961,3.55
149963,7.73
149964,0.17
149980,0.12
149989,1.13
149993,0.78
150010,55.57
150026,1.75
150027,3.25
150047,0.63
150061,2558.00
150080,17.43
150092,0.28
150105,61.48
150106,0.05
150116,0.85
150119,3.45
150144,1.15
150156,1.07
150168,5.38
150171,0.08
150180,4.77
150200,2.30
150203,208.88
150204,0.17
150213,5.97
150227,7.97
150239,0.07
150259,5.43
150261,53.23
150279,0.18
150280,0.60
150285,21.48
150287,6.28
150291,0.13
150302,0.28
150304,18.10
150310,10.82
150317,3.87
150326,58.05
150331,0.08
150340,75.02
150361,1.10
150372,13.47
150379,60.83
150380,1.80
150394,5.43
150399,21.00
150408,26.42
150429,0.13
150433,1.22
150439,15.37
150443,1.90
150456,12.22
150458,0.35
150468,0.05
150482,11.03
150488,104.40
150502,0.35
150529,61.75
150531,0.32
150532,0.05
150534,70.47
150556,1.27
150565,0.08
150575,0.08
150576,0.10
150581,31.72
150591,0.58
150596,0.72
150607,6.35
150610,5.67
150624,0.23
150627,0.23
150646,29.18
150658,0.95
150660,0.07
150665,62.75
150671,5.53
150672,0.85
150673,23.75
150675,0.07
150701,34.17
150705,5.08
150709,0.73
150717,5.35
150730,73.45
150732,116.53
150744,81.38
150745,1693.37
150748,6.80
150769,0.18
150775,0.10
150779,34.42
150784,5.02
150785,6.12
150824,0.48
150834,2.58
150835,23.30
150840,9.27
150853,0.05
150871,57.38
150878,25.62
150882,20.45
150887,0.30
150906,111.30
150907,0.93
150909,3.58
150929,1.37
150932,2.83
150934,0.80
150935,12.12
150936,50.10
150960,0.43
150973,2.33
150975,2.65
150982,62.58
150983,90.82
150986,59.08
150996,7.02
151004,0.55
151013,0.60
151031,7.95
151042,0.37
151045,16.87
151046,44.28
151070,0.12
151076,6.35
151078,2.73
151081,0.20
151085,1.23
151092,2.48
151098,1.07
151120,0.67
151135,39.53
151139,12.03
151158,7.23
151163,0.50
151169,0.05
151170,4.58
151178,1.03
151195,0.08
151202,62.98
151214,6.17
151225,24.32
151236,0.35
151241,57.13
151292,1.22
151305,50.87
151325,43.55
151326,23.20
151330,56.28
151333,85.02
151340,17.55
151352,0.68
151353,0.60
151360,0.10
151368,83.70
151370,1.60
151417,0.60
151418,0.28
151421,27.30
151447,0.75
151451,2.60
151467,5.63
151475,6.78
151493,1.10
151518,0.95
151534,0.53
151545,61.03
151563,0.58
151574,85.40
151576,0.17
151584,9.03
151587,0.62
151600,0.22
151605,0.63
151610,24.48
151613,0.88
151623,2.03
151624,4.37
151627,9.83
151659,20.25
151673,0.30
151696,8.52
151707,0.37
151711,2.57
151712,10.18
151715,0.07
151743,8.77
151753,0.62
151771,2.07
151790,0.12
151792,2.82
151797,6.85
151848,0.63
151885,1.70
151898,0.62
151903,17.70
151919,2.18
151933,0.08
151935,2.63
151938,0.13
152009,115.67
152032,0.18
152059,0.65
152092,0.68
152133,10.77
152135,0.12
152142,5.42
152152,0.25
152158,0.98
152177,2860.92
152188,2.97
152189,22.45
152196,2.15
152198,6.12
152200,0.43
152225,2.55
152227,1.22
152232,420.40
152241,6.77
152242,8.75
152249,48.47
152262,3.50
152322,6.98
152330,47.48
152338,0.90
152339,0.45
152344,52.63
152354,5.93
152360,107.70
152390,53.38
152399,1.70
152401,17.38
152410,0.10
152414,3.03
152438,5.48
152441,1.93
152443,0.50
152473,3.23
152476,41.42
152491,1.22
152492,0.77
152513,23.18
152545,0.20
152553,20.58
152556,1.78
152581,0.15
152585,1.53
152589,53.22
152590,11.67
152592,0.08
152605,2.23
152607,4.62
152612,1.88
152613,1.52
152631,0.72
152652,59.80
152655,4.88
152666,29.22
152673,1.07
152682,0.58
152688,11.05
152693,0.98
152708,0.08
152714,65.07
152717,0.07
152735,0.30
152751,34.48
152761,2.03
152766,1371.40
152775,0.50
152780,0.62
152785,0.47
152791,71.83
152812,0.08
152816,0.83
152820,8.45
152823,132.77
152827,72.40
152846,52.98
152849,18.07
152888,5.95
152896,108.77
152899,0.12
152905,1.60
152909,0.28
152923,11.97
152957,0.45
152960,44.80
152963,0.15
152972,5.37
152976,57.52
152985,0.05
152998,0.15
153014,15.15
153033,19.85
153034,0.52
153037,8.78
153039,0.10
153042,5.93
153055,66.05
153071,4.92
153082,0.12
153089,0.30
153092,5.60
153104,35.43
153112,4.55
153119,2.37
