student_id,minutes_watched,paid_in_q2
6,81.03,1
516,46.27,1
520,91.18,1
523,1322.25,1
594,3.73,1
603,8.18,1
608,387.68,1
614,674.40,1
616,1103.45,1
618,546.35,1
618,546.35,1
618,546.35,1
618,546.35,1
618,546.35,1
659,1337.60,1
666,332.90,1
691,499.52,1
698,35.98,1
699,0.13,1
702,96.92,1
709,2.30,1
767,0.05,1
767,0.05,1
767,0.05,1
767,0.05,1
767,0.05,1
772,4160.58,1
778,201.60,1
778,201.60,1
782,33.92,1
782,33.92,1
792,3391.73,1
792,3391.73,1
792,3391.73,1
800,482.23,1
801,333.42,1
804,514.07,1
804,514.07,1
805,48.47,1
810,190.17,1
810,190.17,1
810,190.17,1
810,190.17,1
829,151.35,1
830,0.35,1
830,0.35,1
830,0.35,1
830,0.35,1
830,0.35,1
830,0.35,1
832,358.18,1
838,507.82,1
838,507.82,1
840,1122.13,1
841,1298.88,1
841,1298.88,1
842,289.58,1
851,375.37,1
854,6.85,1
862,978.92,1
863,624.93,1
863,624.93,1
863,624.93,1
863,624.93,1
863,624.93,1
863,624.93,1
863,624.93,1
863,624.93,1
863,624.93,1
865,1038.43,1
869,175.87,1
870,510.95,1
872,6.72,1
875,355.17,1
876,2.13,1
882,1080.68,1
893,370.12,1
894,0.07,1
900,283.32,1
900,283.32,1
900,283.32,1
900,283.32,1
900,283.32,1
900,283.32,1
900,283.32,1
900,283.32,1
900,283.32,1
900,283.32,1
902,34.62,1
903,141.35,1
908,2278.02,1
908,2278.02,1
908,2278.02,1
911,878.07,1
911,878.07,1
911,878.07,1
916,339.07,1
916,339.07,1
916,339.07,1
916,339.07,1
916,339.07,1
916,339.07,1
916,339.07,1
916,339.07,1
928,99.05,1
930,159.52,1
933,717.52,1
936,379.87,1
956,1.92,1
959,12.30,1
961,326.13,1
965,1125.80,1
969,57.80,1
969,57.80,1
973,43.70,1
973,43.70,1
977,0.60,1
977,0.60,1
982,38.85,1
985,57.78,1
985,57.78,1
985,57.78,1
