student_id,minutes_watched
618,952.60
2731,468.67
2811,575.72
2954,163.12
5704,0.10
145793,154.97
146948,4.77
146990,11.82
148089,5.20
67,27.03
560,1.22
1520,2.10
1907,4.68
2759,0.25
4408,43.63
4819,2.75
5567,0.45
7008,1.38
7296,0.10
7815,1.95
8407,6.98
8442,6.27
9268,1.40
13830,2.05
13979,1.57
16729,65.18
17688,7.02
19842,43.82
21562,0.40
21703,46.88
21736,1.43
21796,0.05
24385,0.35
25548,2.63
30623,6.28
31770,83.50
32711,0.80
34175,48.88
39845,0.08
42902,25.43
43214,41.35
43934,0.80
49094,0.48
49389,25.95
51169,7.42
60297,41.58
62938,0.27
72954,11.93
72965,46.47
75705,0.38
76425,6.03
77615,0.35
78575,4.30
87130,0.77
88618,49.05
89658,0.27
90920,139.65
93890,59.27
97910,48.05
99728,0.38
101532,1.58
109146,43.78
114289,15.80
120579,1.58
121337,5.43
121828,2.78
123015,40.75
123523,0.62
125372,3.40
126290,0.35
135752,1.25
140195,2.53
140500,34.25
142411,22.17
143621,35.85
143965,4.48
144032,91.47
145161,4.92
145767,84.88
147665,2.68
148298,2.10
149235,0.35
150834,1.87
151163,2.53
153819,0.13
153860,1.22
154068,6.20
154100,17.83
154664,20.80
156221,1.78
158179,442.57
158230,23.63
158541,1.10
159060,176.52
159802,0.28
159848,38.45
159983,2.58
160795,0.27
161318,11.67
161537,91.05
161623,0.07
161707,2.20
162357,0.33
162549,19.88
162566,23.07
162703,42.15
163878,0.52
163909,30.73
164198,2.85
164617,3.25
164663,2.98
165764,0.53
166089,1.50
166257,1.75
166304,7.90
166597,1.37
166699,124.87
167685,1.03
167874,0.15
168147,5.70
168545,7.67
168684,2.95
168792,0.92
169681,0.55
169764,44.73
169909,23.97
171213,3.00
171274,1.07
171735,2.82
172386,0.15
172407,0.62
172544,3.97
172761,10.22
172979,43.62
173687,39.48
174034,1.87
174547,3.07
174549,0.18
174573,0.12
174665,0.07
174949,0.10
174957,1.90
175111,0.90
175647,11.20
175987,1.00
176369,0.35
176396,25.10
176400,63.35
176610,18.17
177245,0.33
178140,35.03
178204,0.28
178454,0.12
178479,3.50
179515,0.30
180325,0.48
180823,14.62
181079,1.32
181099,2.13
181286,0.17
181352,3.33
181438,20.22
181563,5.18
181605,10.60
181830,1.87
183512,15.80
183867,0.23
184118,0.68
184196,28.90
185508,7.17
185704,50.90
185768,3.60
186147,8.50
186409,5.53
186626,0.63
187082,24.97
187587,1.07
188012,0.50
189571,1.20
189878,8.53
190055,4.35
191551,27.65
191632,0.12
191702,3.13
191879,0.60
192890,36.48
193266,5.10
193587,0.42
193805,0.20
194127,31.68
195486,1.20
195688,0.22
196224,1.23
196591,10.88
198334,1.20
198406,0.30
198702,110.87
199761,0.05
200342,0.15
200471,3.73
200579,47.23
200820,91.85
201778,37.67
201881,22.63
201928,41.42
202109,35.10
202137,1.52
202546,68.20
202781,46.47
203103,22.10
203189,4.58
203259,37.15
204858,6.70
205122,4.83
206241,1.50
207387,0.07
207655,6.65
208165,0.22
208249,3.12
208364,2.70
208606,0.80
209263,89.93
209592,0.48
209963,1.53
209967,1.37
210012,1.50
210024,7.87
210350,7.67
210585,0.40
210861,3.65
210910,9.43
211004,0.12
211319,0.05
211370,0.45
211515,0.13
211671,8.90
212157,2.90
212456,89.17
212483,5.25
212860,2.20
212998,17.83
213468,29.98
213527,29.15
213529,28.88
213613,26.28
214287,0.17
214519,133.97
214939,1.33
214959,60.93
215021,0.17
215342,4.38
215419,0.68
215907,43.12
216283,8.95
216308,12.83
217654,0.28
217758,19.47
219164,0.10
219344,0.08
219477,11.07
219739,0.77
220508,2.23
220586,7.38
220772,8.57
221232,1.27
221418,4.58
221547,0.17
221992,30.05
222072,0.17
222320,36.63
222469,2.88
222519,0.28
222614,2.30
222849,0.18
222920,20.50
222987,0.05
223540,0.18
223855,47.17
224291,11.85
224547,27.67
224779,162.52
224785,0.05
224905,11.08
224955,8.30
225180,4.50
225806,0.17
225818,0.08
225883,0.55
225892,45.37
226171,0.27
227377,25.03
227906,3.63
228016,2.30
228508,6.67
228614,6.58
229524,91.88
229738,0.28
230540,15.00
230675,34.05
230977,5.02
231474,0.85
232132,30.53
232219,0.55
232700,12.90
233088,0.53
233245,5.92
233639,5.23
234039,32.12
234084,5.58
234481,17.48
234841,1.92
235148,0.62
235990,2.18
236058,32.97
236064,2.78
236441,15.47
236476,0.08
237385,9.75
237740,4.50
238426,8.12
238865,18.57
239133,28.83
239322,0.48
239932,42.00
240107,0.17
240377,5.37
240753,1.32
240874,10.33
241053,41.65
241509,39.38
241641,49.13
241777,2.02
241999,0.12
242314,3.15
242397,76.08
242930,0.13
243042,577.37
243274,19.38
243528,1.13
243557,0.07
244629,27.52
246423,7.47
246952,0.13
247688,36.22
247775,59.37
247903,25.10
248451,6.13
249276,24.23
249678,16.37
249697,11.38
249725,0.63
250417,0.17
250501,41.57
250710,38.10
251389,2.20
251525,29.10
251696,42.97
251725,64.42
251855,0.50
251891,0.10
252870,5.85
253151,25.95
253166,1.60
253427,34.13
253700,2.02
254325,0.42
254431,1426.67
254546,14.63
255329,0.10
255892,8.55
256043,16.97
256168,0.17
256436,57.25
256548,0.57
256704,1.83
256737,1.50
256888,14.28
257648,21.93
257871,6.73
258046,0.83
258362,7.77
258374,7.58
258897,0.10
258915,3.33
259418,11.80
259724,0.35
259762,18.97
