student_id,minutes_watched,paid_in_q2
6,67.08,1
389,0.15,1
616,116.02,1
618,238.15,1
618,238.15,1
666,2.83,1
699,222.35,1
702,1.60,1
702,1.60,1
801,5732.58,1
838,348.28,1
838,348.28,1
841,324.75,1
841,324.75,1
862,166.73,1
875,46.77,1
908,0.92,1
908,0.92,1
908,0.92,1
911,39.35,1
911,39.35,1
911,39.35,1
917,5.67,1
969,584.60,1
969,584.60,1
988,144.78,1
988,144.78,1
999,384.22,1
999,384.22,1
999,384.22,1
999,384.22,1
999,384.22,1
999,384.22,1
999,384.22,1
999,384.22,1
1016,20.15,1
1019,56.50,1
1046,1406.38,1
1064,66.85,1
1085,82.97,1
1102,271.30,1
1151,206.23,1
1159,30.78,1
1159,30.78,1
1159,30.78,1
1183,46.82,1
1188,13.02,1
1200,329.40,1
1201,7.67,1
1210,4.40,1
1215,3.03,1
1215,3.03,1
1215,3.03,1
1215,3.03,1
1215,3.03,1
1215,3.03,1
1215,3.03,1
1215,3.03,1
1215,3.03,1
1215,3.03,1
1221,227.30,1
1221,227.30,1
1221,227.30,1
1221,227.30,1
1221,227.30,1
1235,35.98,1
1246,528.57,1
1271,3.05,1
1271,3.05,1
1306,735.68,1
1308,0.35,1
1317,21.27,1
1355,18.07,1
1357,0.12,1
1357,0.12,1
1357,0.12,1
1357,0.12,1
1357,0.12,1
1357,0.12,1
1362,13.52,1
1362,13.52,1
1362,13.52,1
1373,45.92,1
1382,0.33,1
1382,0.33,1
1395,98.58,1
1397,27.83,1
1404,29.73,1
1404,29.73,1
1404,29.73,1
1419,63.52,1
1424,0.07,1
1426,17.78,1
1426,17.78,1
1434,23.67,1
1436,0.23,1
1437,47.10,1
1456,0.40,1
1468,88.63,1
1521,776.92,1
1522,125.88,1
1537,19.82,1
1538,1.70,1
1539,0.88,1
1563,5.27,1
1567,365.37,1
1581,285.95,1
1581,285.95,1
1605,25.00,1
1641,1.87,1
1652,1032.87,1
1661,5.18,1
1669,52.38,1
1678,92.92,1
1688,11.37,1
1742,264.88,1
1753,55.77,1
1754,516.18,1
1778,397.37,1
1780,0.65,1
1794,115.52,1
1802,0.05,1
1845,9.45,1
1852,218.23,1
1852,218.23,1
1863,38.17,1
1864,301.22,1
1864,301.22,1
1866,0.08,1
1880,719.03,1
1909,238.35,1
1914,20.50,1
1923,0.55,1
1923,0.55,1
1950,17.02,1
1977,748.12,1
1977,748.12,1
1977,748.12,1
1977,748.12,1
2003,935.67,1
